# ----------------------------------------
# www.meetup.com/miamirb/
# Pages
# 20130604-20130604
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/miamirb/events/122092982/,7,5,00:00:10,3,66.67%,71.43%,$0.00
/miamirb/events/121648862/,6,6,00:00:08,6,83.33%,83.33%,$0.00
/miamirb/,3,2,00:02:48,2,0.00%,0.00%,$0.00
/miamirb/events/122092422/,1,1,00:00:04,1,0.00%,0.00%,$0.00
/miamirb/events/122092982/?a=me1_grp,1,1,00:00:00,1,100.00%,100.00%,$0.00
/miamirb/events/122092982/?a=me1_rt,1,1,00:00:00,1,100.00%,100.00%,$0.00
/miamirb/events/122092982/confirm/,1,1,00:00:28,0,0.00%,0.00%,$0.00
/miamirb/member/490579/,1,1,00:00:00,0,0.00%,100.00%,$0.00
/miamirb/members/13609877/?a=ma1_2,1,1,00:08:55,1,0.00%,0.00%,$0.00
/miamirb/members/13609877/?a=me1_fcs,1,1,00:00:00,1,100.00%,100.00%,$0.00
,29,26,00:01:47,18,61.11%,62.07%,$0.00

Day,Pageviews
6/4/13,29
,29

